,train,val,test
0,normal_001,normal_038,test_001
1,normal_003,normal_006,test_002
2,normal_004,normal_067,test_003
3,normal_005,normal_146,test_004
4,normal_007,normal_084,test_005
5,normal_008,normal_070,test_006
6,normal_009,normal_077,test_007
7,normal_010,normal_066,test_008
8,normal_011,normal_097,test_009
9,normal_012,normal_147,test_010
10,normal_013,normal_075,test_011
11,normal_014,normal_054,test_012
12,normal_015,normal_134,test_013
13,normal_016,normal_148,test_014
14,normal_017,normal_049,test_015
15,normal_018,normal_002,test_016
16,normal_019,normal_140,test_017
17,normal_020,normal_050,test_018
18,normal_021,normal_117,test_019
19,normal_022,normal_057,test_020
20,normal_023,normal_074,test_021
21,normal_024,normal_080,test_022
22,normal_025,normal_094,test_023
23,normal_026,normal_101,test_024
24,normal_027,tumor_097,test_025
25,normal_028,tumor_062,test_026
26,normal_029,tumor_076,test_027
27,normal_030,tumor_031,test_028
28,normal_031,tumor_101,test_029
29,normal_032,tumor_038,test_030
30,normal_033,tumor_009,test_031
31,normal_034,tumor_023,test_032
32,normal_035,tumor_083,test_033
33,normal_036,tumor_051,test_034
34,normal_037,tumor_026,test_035
35,normal_039,tumor_005,test_036
36,normal_040,tumor_091,test_037
37,normal_041,tumor_001,test_038
38,normal_042,tumor_017,test_039
39,normal_043,tumor_084,test_040
40,normal_044,,test_041
41,normal_045,,test_042
42,normal_046,,test_043
43,normal_047,,test_044
44,normal_048,,test_045
45,normal_051,,test_046
46,normal_052,,test_047
47,normal_053,,test_048
48,normal_055,,test_050
49,normal_056,,test_051
50,normal_058,,test_052
51,normal_059,,test_053
52,normal_060,,test_054
53,normal_061,,test_055
54,normal_062,,test_056
55,normal_063,,test_057
56,normal_064,,test_058
57,normal_065,,test_059
58,normal_068,,test_060
59,normal_069,,test_061
60,normal_071,,test_062
61,normal_072,,test_063
62,normal_073,,test_064
63,normal_076,,test_065
64,normal_078,,test_066
65,normal_079,,test_067
66,normal_081,,test_068
67,normal_082,,test_069
68,normal_083,,test_070
69,normal_085,,test_071
70,normal_087,,test_072
71,normal_088,,test_073
72,normal_089,,test_074
73,normal_090,,test_075
74,normal_091,,test_076
75,normal_092,,test_077
76,normal_093,,test_078
77,normal_095,,test_079
78,normal_096,,test_080
79,normal_098,,test_081
80,normal_099,,test_082
81,normal_100,,test_083
82,normal_102,,test_084
83,normal_103,,test_085
84,normal_104,,test_086
85,normal_105,,test_087
86,normal_106,,test_088
87,normal_107,,test_089
88,normal_108,,test_090
89,normal_109,,test_091
90,normal_110,,test_092
91,normal_111,,test_093
92,normal_112,,test_094
93,normal_113,,test_095
94,normal_114,,test_096
95,normal_115,,test_097
96,normal_116,,test_098
97,normal_118,,test_099
98,normal_119,,test_100
99,normal_120,,test_101
100,normal_121,,test_102
101,normal_122,,test_103
102,normal_123,,test_104
103,normal_124,,test_105
104,normal_125,,test_106
105,normal_126,,test_107
106,normal_127,,test_108
107,normal_128,,test_109
108,normal_129,,test_110
109,normal_130,,test_111
110,normal_131,,test_112
111,normal_132,,test_113
112,normal_133,,test_114
113,normal_135,,test_115
114,normal_136,,test_116
115,normal_137,,test_117
116,normal_138,,test_118
117,normal_139,,test_119
118,normal_141,,test_120
119,normal_142,,test_121
120,normal_143,,test_122
121,normal_144,,test_123
122,normal_145,,test_124
123,normal_149,,test_125
124,normal_150,,test_126
125,normal_151,,test_127
126,normal_152,,test_128
127,normal_153,,test_129
128,normal_154,,test_130
129,normal_155,,
130,normal_156,,
131,normal_157,,
132,normal_158,,
133,normal_159,,
134,normal_160,,
135,tumor_002,,
136,tumor_003,,
137,tumor_004,,
138,tumor_006,,
139,tumor_007,,
140,tumor_008,,
141,tumor_010,,
142,tumor_011,,
143,tumor_012,,
144,tumor_013,,
145,tumor_014,,
146,tumor_015,,
147,tumor_016,,
148,tumor_018,,
149,tumor_019,,
150,tumor_020,,
151,tumor_021,,
152,tumor_022,,
153,tumor_024,,
154,tumor_025,,
155,tumor_027,,
156,tumor_028,,
157,tumor_029,,
158,tumor_030,,
159,tumor_032,,
160,tumor_033,,
161,tumor_034,,
162,tumor_035,,
163,tumor_036,,
164,tumor_037,,
165,tumor_039,,
166,tumor_040,,
167,tumor_041,,
168,tumor_042,,
169,tumor_043,,
170,tumor_044,,
171,tumor_045,,
172,tumor_046,,
173,tumor_047,,
174,tumor_048,,
175,tumor_049,,
176,tumor_050,,
177,tumor_052,,
178,tumor_053,,
179,tumor_054,,
180,tumor_055,,
181,tumor_056,,
182,tumor_057,,
183,tumor_058,,
184,tumor_059,,
185,tumor_060,,
186,tumor_061,,
187,tumor_063,,
188,tumor_064,,
189,tumor_065,,
190,tumor_066,,
191,tumor_067,,
192,tumor_068,,
193,tumor_069,,
194,tumor_070,,
195,tumor_071,,
196,tumor_072,,
197,tumor_073,,
198,tumor_074,,
199,tumor_075,,
200,tumor_077,,
201,tumor_078,,
202,tumor_079,,
203,tumor_080,,
204,tumor_081,,
205,tumor_082,,
206,tumor_085,,
207,tumor_086,,
208,tumor_087,,
209,tumor_088,,
210,tumor_089,,
211,tumor_090,,
212,tumor_092,,
213,tumor_093,,
214,tumor_094,,
215,tumor_095,,
216,tumor_096,,
217,tumor_098,,
218,tumor_099,,
219,tumor_100,,
220,tumor_102,,
221,tumor_103,,
222,tumor_104,,
223,tumor_105,,
224,tumor_106,,
225,tumor_107,,
226,tumor_108,,
227,tumor_109,,
228,tumor_110,,
229,tumor_111,,
