,train,val,test
0,normal_001,normal_066,test_001
1,normal_002,normal_156,test_002
2,normal_004,normal_147,test_003
3,normal_005,normal_088,test_004
4,normal_006,normal_103,test_005
5,normal_007,normal_003,test_006
6,normal_008,normal_083,test_007
7,normal_010,normal_121,test_008
8,normal_011,normal_024,test_009
9,normal_012,normal_127,test_010
10,normal_013,normal_143,test_011
11,normal_014,normal_133,test_012
12,normal_015,normal_142,test_013
13,normal_016,normal_159,test_014
14,normal_017,normal_048,test_015
15,normal_018,normal_119,test_016
16,normal_019,normal_115,test_017
17,normal_020,normal_117,test_018
18,normal_021,normal_041,test_019
19,normal_022,normal_144,test_020
20,normal_023,normal_009,test_021
21,normal_025,normal_073,test_022
22,normal_026,normal_146,test_023
23,normal_027,normal_135,test_024
24,normal_028,tumor_006,test_025
25,normal_029,tumor_037,test_026
26,normal_030,tumor_017,test_027
27,normal_031,tumor_057,test_028
28,normal_032,tumor_085,test_029
29,normal_033,tumor_076,test_030
30,normal_034,tumor_011,test_031
31,normal_035,tumor_028,test_032
32,normal_036,tumor_009,test_033
33,normal_037,tumor_059,test_034
34,normal_038,tumor_068,test_035
35,normal_039,tumor_110,test_036
36,normal_040,tumor_061,test_037
37,normal_042,tumor_042,test_038
38,normal_043,tumor_045,test_039
39,normal_044,tumor_108,test_040
40,normal_045,,test_041
41,normal_046,,test_042
42,normal_047,,test_043
43,normal_049,,test_044
44,normal_050,,test_045
45,normal_051,,test_046
46,normal_052,,test_047
47,normal_053,,test_048
48,normal_054,,test_050
49,normal_055,,test_051
50,normal_056,,test_052
51,normal_057,,test_053
52,normal_058,,test_054
53,normal_059,,test_055
54,normal_060,,test_056
55,normal_061,,test_057
56,normal_062,,test_058
57,normal_063,,test_059
58,normal_064,,test_060
59,normal_065,,test_061
60,normal_067,,test_062
61,normal_068,,test_063
62,normal_069,,test_064
63,normal_070,,test_065
64,normal_071,,test_066
65,normal_072,,test_067
66,normal_074,,test_068
67,normal_075,,test_069
68,normal_076,,test_070
69,normal_077,,test_071
70,normal_078,,test_072
71,normal_079,,test_073
72,normal_080,,test_074
73,normal_081,,test_075
74,normal_082,,test_076
75,normal_084,,test_077
76,normal_085,,test_078
77,normal_087,,test_079
78,normal_089,,test_080
79,normal_090,,test_081
80,normal_091,,test_082
81,normal_092,,test_083
82,normal_093,,test_084
83,normal_094,,test_085
84,normal_095,,test_086
85,normal_096,,test_087
86,normal_097,,test_088
87,normal_098,,test_089
88,normal_099,,test_090
89,normal_100,,test_091
90,normal_101,,test_092
91,normal_102,,test_093
92,normal_104,,test_094
93,normal_105,,test_095
94,normal_106,,test_096
95,normal_107,,test_097
96,normal_108,,test_098
97,normal_109,,test_099
98,normal_110,,test_100
99,normal_111,,test_101
100,normal_112,,test_102
101,normal_113,,test_103
102,normal_114,,test_104
103,normal_116,,test_105
104,normal_118,,test_106
105,normal_120,,test_107
106,normal_122,,test_108
107,normal_123,,test_109
108,normal_124,,test_110
109,normal_125,,test_111
110,normal_126,,test_112
111,normal_128,,test_113
112,normal_129,,test_114
113,normal_130,,test_115
114,normal_131,,test_116
115,normal_132,,test_117
116,normal_134,,test_118
117,normal_136,,test_119
118,normal_137,,test_120
119,normal_138,,test_121
120,normal_139,,test_122
121,normal_140,,test_123
122,normal_141,,test_124
123,normal_145,,test_125
124,normal_148,,test_126
125,normal_149,,test_127
126,normal_150,,test_128
127,normal_151,,test_129
128,normal_152,,test_130
129,normal_153,,
130,normal_154,,
131,normal_155,,
132,normal_157,,
133,normal_158,,
134,normal_160,,
135,tumor_001,,
136,tumor_002,,
137,tumor_003,,
138,tumor_004,,
139,tumor_005,,
140,tumor_007,,
141,tumor_008,,
142,tumor_010,,
143,tumor_012,,
144,tumor_013,,
145,tumor_014,,
146,tumor_015,,
147,tumor_016,,
148,tumor_018,,
149,tumor_019,,
150,tumor_020,,
151,tumor_021,,
152,tumor_022,,
153,tumor_023,,
154,tumor_024,,
155,tumor_025,,
156,tumor_026,,
157,tumor_027,,
158,tumor_029,,
159,tumor_030,,
160,tumor_031,,
161,tumor_032,,
162,tumor_033,,
163,tumor_034,,
164,tumor_035,,
165,tumor_036,,
166,tumor_038,,
167,tumor_039,,
168,tumor_040,,
169,tumor_041,,
170,tumor_043,,
171,tumor_044,,
172,tumor_046,,
173,tumor_047,,
174,tumor_048,,
175,tumor_049,,
176,tumor_050,,
177,tumor_051,,
178,tumor_052,,
179,tumor_053,,
180,tumor_054,,
181,tumor_055,,
182,tumor_056,,
183,tumor_058,,
184,tumor_060,,
185,tumor_062,,
186,tumor_063,,
187,tumor_064,,
188,tumor_065,,
189,tumor_066,,
190,tumor_067,,
191,tumor_069,,
192,tumor_070,,
193,tumor_071,,
194,tumor_072,,
195,tumor_073,,
196,tumor_074,,
197,tumor_075,,
198,tumor_077,,
199,tumor_078,,
200,tumor_079,,
201,tumor_080,,
202,tumor_081,,
203,tumor_082,,
204,tumor_083,,
205,tumor_084,,
206,tumor_086,,
207,tumor_087,,
208,tumor_088,,
209,tumor_089,,
210,tumor_090,,
211,tumor_091,,
212,tumor_092,,
213,tumor_093,,
214,tumor_094,,
215,tumor_095,,
216,tumor_096,,
217,tumor_097,,
218,tumor_098,,
219,tumor_099,,
220,tumor_100,,
221,tumor_101,,
222,tumor_102,,
223,tumor_103,,
224,tumor_104,,
225,tumor_105,,
226,tumor_106,,
227,tumor_107,,
228,tumor_109,,
229,tumor_111,,
