,train,val,test
0,normal_001,normal_017,test_001
1,normal_002,normal_096,test_002
2,normal_003,normal_007,test_003
3,normal_004,normal_059,test_004
4,normal_005,normal_117,test_005
5,normal_006,normal_035,test_006
6,normal_008,normal_114,test_007
7,normal_009,normal_156,test_008
8,normal_010,normal_056,test_009
9,normal_011,normal_028,test_010
10,normal_012,normal_036,test_011
11,normal_014,normal_037,test_012
12,normal_015,normal_013,test_013
13,normal_016,normal_025,test_014
14,normal_018,normal_148,test_015
15,normal_019,normal_116,test_016
16,normal_020,normal_070,test_017
17,normal_021,normal_050,test_018
18,normal_022,normal_084,test_019
19,normal_023,normal_093,test_020
20,normal_024,normal_146,test_021
21,normal_026,normal_145,test_022
22,normal_027,normal_104,test_023
23,normal_029,normal_143,test_024
24,normal_030,tumor_080,test_025
25,normal_031,tumor_050,test_026
26,normal_032,tumor_048,test_027
27,normal_033,tumor_051,test_028
28,normal_034,tumor_070,test_029
29,normal_038,tumor_002,test_030
30,normal_039,tumor_091,test_031
31,normal_040,tumor_027,test_032
32,normal_041,tumor_063,test_033
33,normal_042,tumor_038,test_034
34,normal_043,tumor_093,test_035
35,normal_044,tumor_018,test_036
36,normal_045,tumor_044,test_037
37,normal_046,tumor_061,test_038
38,normal_047,tumor_101,test_039
39,normal_048,tumor_064,test_040
40,normal_049,,test_041
41,normal_051,,test_042
42,normal_052,,test_043
43,normal_053,,test_044
44,normal_054,,test_045
45,normal_055,,test_046
46,normal_057,,test_047
47,normal_058,,test_048
48,normal_060,,test_050
49,normal_061,,test_051
50,normal_062,,test_052
51,normal_063,,test_053
52,normal_064,,test_054
53,normal_065,,test_055
54,normal_066,,test_056
55,normal_067,,test_057
56,normal_068,,test_058
57,normal_069,,test_059
58,normal_071,,test_060
59,normal_072,,test_061
60,normal_073,,test_062
61,normal_074,,test_063
62,normal_075,,test_064
63,normal_076,,test_065
64,normal_077,,test_066
65,normal_078,,test_067
66,normal_079,,test_068
67,normal_080,,test_069
68,normal_081,,test_070
69,normal_082,,test_071
70,normal_083,,test_072
71,normal_085,,test_073
72,normal_087,,test_074
73,normal_088,,test_075
74,normal_089,,test_076
75,normal_090,,test_077
76,normal_091,,test_078
77,normal_092,,test_079
78,normal_094,,test_080
79,normal_095,,test_081
80,normal_097,,test_082
81,normal_098,,test_083
82,normal_099,,test_084
83,normal_100,,test_085
84,normal_101,,test_086
85,normal_102,,test_087
86,normal_103,,test_088
87,normal_105,,test_089
88,normal_106,,test_090
89,normal_107,,test_091
90,normal_108,,test_092
91,normal_109,,test_093
92,normal_110,,test_094
93,normal_111,,test_095
94,normal_112,,test_096
95,normal_113,,test_097
96,normal_115,,test_098
97,normal_118,,test_099
98,normal_119,,test_100
99,normal_120,,test_101
100,normal_121,,test_102
101,normal_122,,test_103
102,normal_123,,test_104
103,normal_124,,test_105
104,normal_125,,test_106
105,normal_126,,test_107
106,normal_127,,test_108
107,normal_128,,test_109
108,normal_129,,test_110
109,normal_130,,test_111
110,normal_131,,test_112
111,normal_132,,test_113
112,normal_133,,test_114
113,normal_134,,test_115
114,normal_135,,test_116
115,normal_136,,test_117
116,normal_137,,test_118
117,normal_138,,test_119
118,normal_139,,test_120
119,normal_140,,test_121
120,normal_141,,test_122
121,normal_142,,test_123
122,normal_144,,test_124
123,normal_147,,test_125
124,normal_149,,test_126
125,normal_150,,test_127
126,normal_151,,test_128
127,normal_152,,test_129
128,normal_153,,test_130
129,normal_154,,
130,normal_155,,
131,normal_157,,
132,normal_158,,
133,normal_159,,
134,normal_160,,
135,tumor_001,,
136,tumor_003,,
137,tumor_004,,
138,tumor_005,,
139,tumor_006,,
140,tumor_007,,
141,tumor_008,,
142,tumor_009,,
143,tumor_010,,
144,tumor_011,,
145,tumor_012,,
146,tumor_013,,
147,tumor_014,,
148,tumor_015,,
149,tumor_016,,
150,tumor_017,,
151,tumor_019,,
152,tumor_020,,
153,tumor_021,,
154,tumor_022,,
155,tumor_023,,
156,tumor_024,,
157,tumor_025,,
158,tumor_026,,
159,tumor_028,,
160,tumor_029,,
161,tumor_030,,
162,tumor_031,,
163,tumor_032,,
164,tumor_033,,
165,tumor_034,,
166,tumor_035,,
167,tumor_036,,
168,tumor_037,,
169,tumor_039,,
170,tumor_040,,
171,tumor_041,,
172,tumor_042,,
173,tumor_043,,
174,tumor_045,,
175,tumor_046,,
176,tumor_047,,
177,tumor_049,,
178,tumor_052,,
179,tumor_053,,
180,tumor_054,,
181,tumor_055,,
182,tumor_056,,
183,tumor_057,,
184,tumor_058,,
185,tumor_059,,
186,tumor_060,,
187,tumor_062,,
188,tumor_065,,
189,tumor_066,,
190,tumor_067,,
191,tumor_068,,
192,tumor_069,,
193,tumor_071,,
194,tumor_072,,
195,tumor_073,,
196,tumor_074,,
197,tumor_075,,
198,tumor_076,,
199,tumor_077,,
200,tumor_078,,
201,tumor_079,,
202,tumor_081,,
203,tumor_082,,
204,tumor_083,,
205,tumor_084,,
206,tumor_085,,
207,tumor_086,,
208,tumor_087,,
209,tumor_088,,
210,tumor_089,,
211,tumor_090,,
212,tumor_092,,
213,tumor_094,,
214,tumor_095,,
215,tumor_096,,
216,tumor_097,,
217,tumor_098,,
218,tumor_099,,
219,tumor_100,,
220,tumor_102,,
221,tumor_103,,
222,tumor_104,,
223,tumor_105,,
224,tumor_106,,
225,tumor_107,,
226,tumor_108,,
227,tumor_109,,
228,tumor_110,,
229,tumor_111,,
