,train,val,test
0,normal_001,normal_016,test_001
1,normal_002,normal_025,test_002
2,normal_003,normal_102,test_003
3,normal_004,normal_155,test_004
4,normal_007,normal_082,test_005
5,normal_010,normal_087,test_006
6,normal_012,normal_068,test_007
7,normal_013,normal_030,test_008
8,normal_014,normal_159,test_009
9,normal_015,normal_009,test_010
10,normal_017,normal_011,test_011
11,normal_018,normal_109,test_012
12,normal_019,normal_063,test_013
13,normal_020,normal_137,test_014
14,normal_022,normal_078,test_015
15,normal_023,normal_021,test_016
16,normal_024,normal_008,test_017
17,normal_026,normal_032,test_018
18,normal_027,normal_046,test_019
19,normal_028,normal_101,test_020
20,normal_029,normal_006,test_021
21,normal_031,normal_064,test_022
22,normal_033,normal_005,test_023
23,normal_034,normal_151,test_024
24,normal_035,tumor_065,test_025
25,normal_036,tumor_064,test_026
26,normal_037,tumor_067,test_027
27,normal_038,tumor_024,test_028
28,normal_039,tumor_048,test_029
29,normal_040,tumor_084,test_030
30,normal_041,tumor_030,test_031
31,normal_042,tumor_090,test_032
32,normal_043,tumor_068,test_033
33,normal_044,tumor_036,test_034
34,normal_045,tumor_080,test_035
35,normal_047,tumor_021,test_036
36,normal_048,tumor_095,test_037
37,normal_049,tumor_100,test_038
38,normal_050,tumor_107,test_039
39,normal_051,tumor_007,test_040
40,normal_052,,test_041
41,normal_053,,test_042
42,normal_054,,test_043
43,normal_055,,test_044
44,normal_056,,test_045
45,normal_057,,test_046
46,normal_058,,test_047
47,normal_059,,test_048
48,normal_060,,test_050
49,normal_061,,test_051
50,normal_062,,test_052
51,normal_065,,test_053
52,normal_066,,test_054
53,normal_067,,test_055
54,normal_069,,test_056
55,normal_070,,test_057
56,normal_071,,test_058
57,normal_072,,test_059
58,normal_073,,test_060
59,normal_074,,test_061
60,normal_075,,test_062
61,normal_076,,test_063
62,normal_077,,test_064
63,normal_079,,test_065
64,normal_080,,test_066
65,normal_081,,test_067
66,normal_083,,test_068
67,normal_084,,test_069
68,normal_085,,test_070
69,normal_088,,test_071
70,normal_089,,test_072
71,normal_090,,test_073
72,normal_091,,test_074
73,normal_092,,test_075
74,normal_093,,test_076
75,normal_094,,test_077
76,normal_095,,test_078
77,normal_096,,test_079
78,normal_097,,test_080
79,normal_098,,test_081
80,normal_099,,test_082
81,normal_100,,test_083
82,normal_103,,test_084
83,normal_104,,test_085
84,normal_105,,test_086
85,normal_106,,test_087
86,normal_107,,test_088
87,normal_108,,test_089
88,normal_110,,test_090
89,normal_111,,test_091
90,normal_112,,test_092
91,normal_113,,test_093
92,normal_114,,test_094
93,normal_115,,test_095
94,normal_116,,test_096
95,normal_117,,test_097
96,normal_118,,test_098
97,normal_119,,test_099
98,normal_120,,test_100
99,normal_121,,test_101
100,normal_122,,test_102
101,normal_123,,test_103
102,normal_124,,test_104
103,normal_125,,test_105
104,normal_126,,test_106
105,normal_127,,test_107
106,normal_128,,test_108
107,normal_129,,test_109
108,normal_130,,test_110
109,normal_131,,test_111
110,normal_132,,test_112
111,normal_133,,test_113
112,normal_134,,test_114
113,normal_135,,test_115
114,normal_136,,test_116
115,normal_138,,test_117
116,normal_139,,test_118
117,normal_140,,test_119
118,normal_141,,test_120
119,normal_142,,test_121
120,normal_143,,test_122
121,normal_144,,test_123
122,normal_145,,test_124
123,normal_146,,test_125
124,normal_147,,test_126
125,normal_148,,test_127
126,normal_149,,test_128
127,normal_150,,test_129
128,normal_152,,test_130
129,normal_153,,
130,normal_154,,
131,normal_156,,
132,normal_157,,
133,normal_158,,
134,normal_160,,
135,tumor_001,,
136,tumor_002,,
137,tumor_003,,
138,tumor_004,,
139,tumor_005,,
140,tumor_006,,
141,tumor_008,,
142,tumor_009,,
143,tumor_010,,
144,tumor_011,,
145,tumor_012,,
146,tumor_013,,
147,tumor_014,,
148,tumor_015,,
149,tumor_016,,
150,tumor_017,,
151,tumor_018,,
152,tumor_019,,
153,tumor_020,,
154,tumor_022,,
155,tumor_023,,
156,tumor_025,,
157,tumor_026,,
158,tumor_027,,
159,tumor_028,,
160,tumor_029,,
161,tumor_031,,
162,tumor_032,,
163,tumor_033,,
164,tumor_034,,
165,tumor_035,,
166,tumor_037,,
167,tumor_038,,
168,tumor_039,,
169,tumor_040,,
170,tumor_041,,
171,tumor_042,,
172,tumor_043,,
173,tumor_044,,
174,tumor_045,,
175,tumor_046,,
176,tumor_047,,
177,tumor_049,,
178,tumor_050,,
179,tumor_051,,
180,tumor_052,,
181,tumor_053,,
182,tumor_054,,
183,tumor_055,,
184,tumor_056,,
185,tumor_057,,
186,tumor_058,,
187,tumor_059,,
188,tumor_060,,
189,tumor_061,,
190,tumor_062,,
191,tumor_063,,
192,tumor_066,,
193,tumor_069,,
194,tumor_070,,
195,tumor_071,,
196,tumor_072,,
197,tumor_073,,
198,tumor_074,,
199,tumor_075,,
200,tumor_076,,
201,tumor_077,,
202,tumor_078,,
203,tumor_079,,
204,tumor_081,,
205,tumor_082,,
206,tumor_083,,
207,tumor_085,,
208,tumor_086,,
209,tumor_087,,
210,tumor_088,,
211,tumor_089,,
212,tumor_091,,
213,tumor_092,,
214,tumor_093,,
215,tumor_094,,
216,tumor_096,,
217,tumor_097,,
218,tumor_098,,
219,tumor_099,,
220,tumor_101,,
221,tumor_102,,
222,tumor_103,,
223,tumor_104,,
224,tumor_105,,
225,tumor_106,,
226,tumor_108,,
227,tumor_109,,
228,tumor_110,,
229,tumor_111,,
